id,name,name_reverse,object,subject
28,hat Untereinheit,hat Übereinheit,Institution,Institution
29,hat Übereinheit,hat Untereinheit,Institution,Institution
38,succeding,preceding,Institution,Institution
65,preceding,succeeding,Institution,Institution
100,wurde einverleibt in,hat einverleibt,Institution,Institution
173,Untereinheit von,hat Untereinheit,Institution,Institution
217,im Sprengel von,Sprengel beinhaltet,Institution,Institution
539,Ist Unterbegriff von (Register),Ist Oberbegriff von (Register),Institution,Institution
659,Gegenbotschaft zu,Gegenbotschaft zu,Institution,Institution
17,located in,location of,Institution,Place
476,governs,is_governed_by,Institution,Place
598,Ist Unterbegriff von (Register),Ist Unterbegriff von (Register) [REVERSE],Institution,Place
6,located in,,Place,Place
593,successor of,succeeded by,Place,Place
669,close to,close to,Place,Place
703,distinct to,distinct to [REVERSE],Place,Place
689,place of (event),takes place in,Place,Event
667,location of,located in,Place,Work
